Empire Of The Senseless  Acker Kathy
The Revolution Will Be Accessorized  Hicklin Aaron ed.
Jack Kerouac : Prophet Of The New Romanticism  Hipkiss Robert A.
Jubilee Hitchhiker: The Life And Times Of Richard Brautigan  Hjortsberg William
Best Of Abbie Hoffman  Hoffman Abbie
American hipster: a life of Herbert Huncke: the Times Square hustler who inspired the Beat movement  Holladay Hilary
Displaced Person: Travel Essays of John Clellon Holmes  Holmes John Clellon
On The Road: Kerouacs Ragged American Journey  Holton Robert
Brion Gysin: Dream Machine  Hoptman Laura
New Departures  Horovitz Michael ed.
Sixties : art politics and media of our most explosive decade  Howard Gerald ed.
The Coast of Bohemia  Howells William Dean
Unknown Henry Miller: A Seeker In Big Sur  Hoyle Arthur
Action Writing : Jack Kerouacs Wild Form  Hrebeniak Michael  
Paris Salons Cafes Studios : Being Social Artitistic and Literary Memoirs  Huddleston Sisley
From LeRoi Jones to Amiri Baraka: The Literary Works  Hudson Theodore R.
Jack Kerouac  Huebel Harry Russell
Narrative Matters: Sexuality Technology And Narcotics In The Work Of William S. Burroughs  Hummel William E.
From Dream To Dream  Huncke Herbert
Genesis Structure And Meaning In Gary Snyders Mountains And Streams Without End  Hunt Anthony
Kerouacs Crooked Road : Development of a Fiction  Hunt Tim
Bohemian Los Angeles And The Making Of Modern Politics  Hurewitz Daniel
Tropic of Cancer on Trial  Hutchison E. R.
Doors Of Perception  Huxley Aldous
On The Poetry Of Allen Ginsberg  Hyde Lewis editor
Narrative Detours: Henry Miller And The Rise Of New Critical Modernism  Ibargüen Raoul Richard
Dharma Beat  Jack Kerouac Subterranean Information Society
Harry Potter 6  JK rowling
War Of The Gods: Orgy And Community In Kerouacs Beat America  Jagger William Grant Jr.
Ubu Plays  Jarry Alfred
Critical Response To Anais Nin  Jason Philip K. editor
Black Pow-Wow: Jazz Poems  Joans Ted
Double Trouble: Poems  Joans TedDou
Come And Join The Dance  Johnson Joyce
Lost Years of William S. Burroughs : Beats in South Texas  Johnson Rob
Girls who wore black : Women writing the beat generation  Johnson Ronna and Nancy M. Grace
How I Became Hettie Jones  Jones Hettie
Jack Kerouacs Duluoz Legend : The Mythic Form of an Autobiographical Fiction  Jones James T.
Jack Kerouac in Seattle  Jones Jim
Baptism and the Toilet  Jones LeRoi
Devil At Large  Jong Erica
Miller Bukowski & Their Enemies  Joyce William
Frisco Kid  Kamstra Jerry
Collected Poems Of Lenore Kandel  Kandel Lenore
When I was Cool: My Life At The Jack Kerouac School  Kashner Sam
Poetry And Politics Of Allen Ginsberg  Katz Eliot 
Outlaw Bible Of American Essays  Kaufman Alan ed.
Ancient Rain: Poems 1956-1978  Kaufman Bob
Henry & June  Kaufman Philip
Paris Olympia Press  Kearney Patrick
Kerouac in Florida: Where the Road Ends  Kealing Bob
And the hippos were boiled in their tanks  Kerouac Jack
Baby Driver  Kerouac Jan
Nobodys Wife: The Smart Aleck And The King Of The Beats  Kerouac Joan Haverty
Youll Be Okay : My Life with Jack Kerouac  Kerouac-Parker Edie
Further Inquiry  Kesey Ken
Beat Voices: An Anthology of Beat Poetry  Kherdian David ed
Exploring The Underworld At Home And Abroad: Bohemians And Tourism In Nineteenth-Century Paris And Beyond  Kilbane Aimee
Californias Wild Edge: The Coast In Poetry Prints And History  Killion Tom & Snyder Gary
Discourse on Hip  Klonsky Milton
Man About Paris: Confessions of Arsene Housssaye  Knepler Henry translator and editor
Beat Road  Knight Arthur and Kit ed
Women of the Beat Generation  Knight Brenda editor
William S. Burroughs Vs The Quran  Knight Michael Muhammad
Avant-Garde Tradition In Literature  Kostelanetz Richard ed.
Temperamental Journeys: Essays on the Modern Literature Of Travel  Kowalewski Michael
Chicago Renaissance: Literary Life in the Midwest 1900-1930  Kramer Dale
Allen Ginsberg in America  Kramer Jane
Allen Ginsberg: An Annotated Bibliography 1969-1977  Kraus Michelle P. ed  
Kill Your Darlings  Krokidas John
Descriptive Bibliography of the Primary Publications of Charles Bukowski  Krumhansl Aaron
Last Time I Committed Suicide  Kushner-Locke Company And Tapestry Films
As Ever: Selected Poems  Kyger Joanne
Bohemians  La Fitte Anne-Gedeon
When History Meets The Mass Media: The Beats In Postwar America  Laird Brandon Wade
Becoming Visible  Lamantia Philip
Bob Apocalypse : Religious Visions of Kerouac Ginsberg and Burroughs  Lardas John
Jack Kerouac Journal  Largely Literary
Rent  Larson Jonathan
Harvard Psychedelic Club : how Timothy Leary Ram Dass Huston Smith and Andrew Weil killed the fifties and ushered in a new age for America  Lattin Don   
Beat Generation And The Russian New Wave  Lauridsen Inger Thorup ed.
The beat generation : a bibliographical teaching guide  Lawlor William
Design For Dying  Leary Timothy  
Psychedelic Reader  Leary Timothy editors
Beat Generation Writers  Lee A. Robert ed.
Hip: the History  Leland John
Kerouac Ascending: Memorabilia Of The Decade Of On The Road  Lenrow Elbert
What Happened to Kerouac?  Lerner Richard
Pull My Daisy  Leslie Alfred
Poems 1968-1972  Levertov Denise
Bohemia In America: 1958-1920  Levin Joanna
Bay Window Bohemia: Account of the Brilliant Artistic World of Gaslit San Francisco  Lewis Oscar
Bruno In Venice West & Other Poems  Lipton Lawrence
Neo-Bohemia: Art And Commerce In The Postindustrial City  Lloyd Richard
Charles Bukowski : A Sure Bet  Locklin Gerald
Jack Kerouac ROMnibus  Lombreglia Ralph
The Road  London Jack
Drugs and the Beats : the role of drugs in the lives and writings of Kerouac  Long John
Lord Of Publishing: A Memoir  Lord Sterling
Man Rays Montparnasse  Lottman Herbert R.
Graphic Art Of The Underground: A Countercultural History  Lowey Ian
Edge Of Taos Desert: An Escape To Reality  Luhan Mabel Dodge
Female Characters In Jack Kerouacs Fiction  Lyke Patricia Phelan
Birth of the Cool: Beat Bebop and the American Avant-Garde  MacAdams Lewis
William S. Burroughs : Commissioner of Sewers  Maeck Klaus
Role Of Jack Kerouacs Odentity In The Development Of His Poetics  Maffina Stefano
Burning Furiously Beautiful: The True Story Of Jack Kerouacs On The Road  Maher Paul
Genius and Lust  Mailer Norman
Hunchback Of East Hollywood: A Biography Of Charles Bukowski  Malone Aubrey
Beatville U.S.A.  Mandel George
Always Merry & Bright: Life of Henry Miller  Martin Jay
Remember I Was The Movies: The Cinematic Prose Of William S. Burroughs  Martino John R.
William S. Burroughs : a bibliography 1953-73 : Unlocking Inspector Lees Word Hoard  Maynard Joe
Venice West: Beat Generation in Southern California  Maynard John Arthur
Spit In The Ocean #7: All About Kesey  McClanahan Ed editor
Catching Light: Collected Poems Of Joanna McClure  McClure Joanna
Adept  McClure Michael
Jack Kerouac - A Social Reaction  McCook Kendall Clay
Kerouac & Friends: A Beat Generation Album  McDarrah Fred W.
Beat Generation: Glory Days in Greenwich Village  McDarrah Fred W. & Gloria S.
Inside Greenwich Village: A New York Neighborhood 1898-1918  McFarland Gerald W.
Jack Kerouac  McKee Jenn
Desolate Angel: Jack Kerouac the Beat Generation and America  McNally Dennis
Gary Snyder: A Bibliography  McNeil Katherine comp.
Observed While Falling: Bill Burroughs Ah Pook And Me  McNeill Malcolm
Into The Fold: The Folded Narratives Of Henry Miller Djuna Barnes William S. Burroughs And J.G. Ballard  McRaniels Daniel   
Understanding Denise Levertov  Marten Harry
Always Merry and Bright: Life of Henry Miller  Martin Jay
Rebel Souls: Walt Whitman And Americas First Bohemians  Martin Justin
Shocking Paris: Soutine CHagall And The Outsiders Of Montparnasse  Meisler Stanley
Beat Thing  Meltzer David
Birth: An Anthology Of Ancient Texts Songs Prayers And Stories  Meltzer David editor
Allen Ginsberg  Merrill Thomas F.
Sixty-Seven Poems for Towntrodden Saints  Micheline Jack
Beat Collection  Miles Barry ed
Beat Hotel: Ginsberg Burroughs and Corso in Paris 1957-1963  Miles Barry
Jack Kerouac: An Annotated Bibliography  Milewski Robert J.
Air-Conditioned Nightmare  Miller Henry
Selections from Joaquin Miller  Miller Joaquin
White Rabbit: A Psychedelic Reader  Miller John ed.l
Bohemia: The Protoculture Then and Now  Miller Richard
Greenwich Village And How It Got That Way  Miller Terry
Henry Miller: Three Decades Of Criticism  Mitchell Edward B. editor
Gary Snyders Vision: Poetry and the Real Work  Molesworth Charles
Kerouac West Coast: A Bohemian Pilot Detailed Navigation Instructions  Montgomery John
Beat Atlas: A State By State Guide To The Beat Generation In America  Morgan Bill
Literary Outlaw: Life & Times of William S. Burroughs  Morgan Ted
Seacoast of Bohemia  Morley Christopher
Huge Season  Morris Wright  
Bohemian Paris To-day  Morrow W. C.
In Bohemia with Du Maurier  Moscheles Felix
Legend of the Latin Quarter: Henry Murger and the Birth of Bohemia  Moss Arthur & Marvel Evalyn
La Boheme: Scenes de la vie de Boheme  Murger Henri
Understanding Gary Snyder  Murphy Patrick D.
Beat Generation: Critical Essays  Myrsiades Kostas editor
Anaïs Nin: Literary Perspectives  Nalbantian Suzanne ed.
Form and Image in the Fiction of Henry Miller  Nelson Jane A.
Mythic Elements Of On The Road  Nelson Kenneth J.
Kenneth Patchen and American Mysticism  Nelson Raymond
Days And Nights In Montmartre & The Latin Quarter  Nevill Ralph
Beat Generation And The Popular Novel In The United States 1945-1970  Newhouse Thomas
Among the Bohemians: Experiments in Living 1900-1939  Nicholson Virginia
Memory Babe: Critical Bio of Kerouac  Nicosia Gerald
Ultimate Illustrated Beats Chronology  Niemi Robert
Children Of The Albatross  Nin Anaïs
McTeague  Norris Frank
Carnivorous Saint: Gay Poems 1941-1976  Norse Harold
Diary of an Old Bohemian  Nunan Thomas
Yesterdays Perfume: An Intimate Memoir Of Paul Bowles  Nutting Cherie
Cool School: Writing From Americas Hip Underground  OBrien Glenn editor
The Poets Eye: A Tribute To Lawrence Ferlinghetti And City Lights Books  Ogar Richard ed.
Lunch Poems  OHara Frank
Beats Mount the Only Rebellion Around...  ONeil Paul
Last Romantic: A Life of Max Eastman  ONeil William L.
Backwards Saints: The Jazz Musician As Hero-Figure In James Baldwins Sonnys Blues And John Clellon Holmes The Horn  Oliver Stephen Blake
Cregory Corso : Doubting Thomist  Olson Kirby
Henry Miller: His World Of Urania  Omarr Sydney
Heart Beat  Orion Pictures
Peter Orlovsky: A Life In Words: Intimate Chronicle Of A Beat Writer  Orlovsky Peter
George du Maurier  Ormond Leonée
Howl  Oscilloscope Pictures
William S. Burroughs: A Man Within  Oscilloscope Laboratories
Beat Literature Library of Stephen Ronan & the Charles Bukowski Collection of Thomas Groff  Pacific Book Auction Galleries
Casebook on the Beat  Parkinson Thomas ed.
Garrets and Pretenders: A History of Bohemianism in America  Parry Albert
Aflame And Afun Of Walking Faces: Fables And Drawings  Patchen Kenneth
Style And Subversion: Kerouac And The Cultural Cold War  Paton Fiona A.
Obelisk : A History of Jack Kahane and the Obelisk Press  Pearson Neil
Beats : a graphic history  Pekar Harvey
Art & Outrage: A Correspondence About Henry Miller  Perles Alfred
Bohemios (Spanish Libretto)  Perrin Guillermo and Miguel de Palacios
Haight-Ashbury: A History  Perry Charles
On the Bus  Perry Paul
Esprit Montmartre: Bohemian Life In Paris Around 1900  Pfeiffer Ingrid ed.
Beat Culture and the New America: 1950-1965  Phillips Lisa
Forest Beatniks and Urban Thoreaus : Gary Snyder Jack Kerouac Lew Welch and Michael McClure  Phillips Rod
Gary Snyder And The Mythological Present  Pickett Rebecca A.
Lila  Pirsig Robert M.
These States: Ginsbergs Chronicle Of History  Pirtle Charles Eric
Amiri Baraka & Edward Dorn: The Collected Letters  Pisano Claudia Moreno editor
Beat & pieces : a complete story of the Beat Generation  Pivano Fernanda
American Expatriate Writing and the Paris Moment  Pizer Donald
Paris Review Interviews: Beat Writers At Work  Plimpton George ed.
Holy Goof: Biography of Neal Cassady  Plummer William
Ex-Friends: Falling Out With Allen Ginsberg Lionel And Diana Trilling Lillian Hellman Hannah Arendt And Norman Mailer  Podhoretz Norman
Bukowski For Beginners  Polimeni Carlos
Big Sur  Polish Michael
Hustlers Beats and Others  Polsky Ned
Wierd Like Us: My Bohemian America  Powers Ann
La Bohème  Puccini Giacomo
Structure Of Sound: An Analysis Of William Carlos Williams Influence Upon The Poetry Of Allen Ginsberg And Robert Creeley  Rader Craig R.
Life & Letters in France the 19th century  Raitt A.W.
Bohemia in London  Ransome Arthur
American Scream: Allen Ginsbergs Howl and the Making of the Beat Generation  Raskin Jonah
Story of O  Reage Pauline
Conversations with Amiri Baraka  Reilly Charlie editor
An Autobiographical Novel  Rexroth Kenneth
Beyond The Mountains  Rexroth Kenneth
Burning Heart: Women Poets Of Japan  Rexroth Kenneth
Classics Revisited  Rexroth Kenneth
Collected Longer Poems of Kenneth Rexroth  Rexroth Kenneth
Collected Shorter Poems of Kenneth Rexroth  Rexroth Kenneth
Complete Poems Of Kenneth Rexroth  Rexroth Kenneth
Dragon And The Unicorn  Rexroth Kenneth
